arm,stratum_type,stratum,n,value
B0,cohort,0,10,0.02810249307479224
B0,cohort,1,6,0.033471837488457994
B0,cohort,2,9,0.020829485995690976
B0,cohort,3,9,0.0180440135426285
B0,cohort,4,10,0.014542936288088643
B0,cohort,5,10,0.018324099722991684
B0,cohort,6,11,0.020870057919919412
B0,cohort,7,9,0.01657433056325023
B0,cohort,8,10,0.0253808864265928
B0,cohort,9,10,0.01817174515235457
B0,cohort,10,9,0.0157202216066482
B0,cohort,11,10,0.019328254847645433
B0,cohort,12,11,0.026410224124905568
B0,cohort,13,11,0.015254343993956183
B0,cohort,14,10,0.018109418282548476
B0,cohort,15,11,0.015449508939813651
B0,cohort,16,10,0.017832409972299172
B0,cohort,17,10,0.0274584487534626
B0,cohort,18,8,0.032617728531855954
B0,cohort,19,6,0.01977146814404432
B0,cohort,20,8,0.021745152354570637
B0,cohort,21,10,0.016398891966759
B0,cohort,22,11,0.0216633089901788
B0,cohort,23,10,0.018254847645429364
B0,cohort,24,11,0.015644673885671114
B0,cohort,25,11,0.026076555023923444
B0,maf_bin,0,140,0.003122509960159362
B0,maf_bin,1,122,0.004269806021814385
B0,maf_bin,2,99,0.006530443881041491
B0,distance_bin,0,104,0.1722756320836563
B0,distance_bin,1,148,0.09942949610033802
B0,distance_bin,2,202,0.06398258855142665
B0,distance_bin,3,573,0.05806391027348861
B1,cohort,0,10,0.027098337950138506
B1,cohort,1,6,0.03335641735918744
B1,cohort,2,9,0.019713758079409047
B1,cohort,3,9,0.014658356417359188
B1,cohort,4,10,0.014473684210526314
B1,cohort,5,10,0.017105263157894738
B1,cohort,6,11,0.016689750692520773
B1,cohort,7,9,0.016089566020313945
B1,cohort,8,10,0.022015235457063707
B1,cohort,9,10,0.017119113573407202
B1,cohort,10,9,0.01474299784549092
B1,cohort,11,10,0.0182409972299169
B1,cohort,12,11,0.023438680433140267
B1,cohort,13,11,0.015663560815915387
B1,cohort,14,10,0.01585180055401662
B1,cohort,15,11,0.013497859481238985
B1,cohort,16,10,0.014065096952908586
B1,cohort,17,10,0.027132963988919668
B1,cohort,18,8,0.02901662049861496
B1,cohort,19,6,0.021052631578947368
B1,cohort,20,8,0.018291204986149584
B1,cohort,21,10,0.0168421052631579
B1,cohort,22,11,0.020914127423822718
B1,cohort,23,10,0.016509695290858727
B1,cohort,24,11,0.014511458071014859
B1,cohort,25,11,0.022765046587761267
B1,maf_bin,0,140,0.003530165054069437
B1,maf_bin,1,122,0.005447880608712689
B1,maf_bin,2,99,0.006936898869169785
B1,distance_bin,0,104,0.17197044238274112
B1,distance_bin,1,148,0.09885863135368235
B1,distance_bin,2,202,0.06360891473105303
B1,distance_bin,3,573,0.05739790907528774
B2,cohort,0,10,0.034736842105263156
B2,cohort,1,6,0.0378808864265928
B2,cohort,2,9,0.02419205909510618
B2,cohort,3,9,0.024692212988611878
B2,cohort,4,10,0.017970914127423826
B2,cohort,5,10,0.02259695290858726
B2,cohort,6,11,0.024924452279022923
B2,cohort,7,9,0.01967528470298553
B2,cohort,8,10,0.03302631578947368
B2,cohort,9,10,0.020090027700831025
B2,cohort,10,9,0.02175284702985534
B2,cohort,11,10,0.023538781163434903
B2,cohort,12,11,0.03393351800554017
B2,cohort,13,11,0.018257365902795267
B2,cohort,14,10,0.023144044321329642
B2,cohort,15,11,0.02238730798287585
B2,cohort,16,10,0.02278393351800554
B2,cohort,17,10,0.03441828254847645
B2,cohort,18,8,0.04031336565096953
B2,cohort,19,6,0.023280240073868884
B2,cohort,20,8,0.027259349030470916
B2,cohort,21,10,0.022409972299168978
B2,cohort,22,11,0.025969529085872575
B2,cohort,23,10,0.02455678670360111
B2,cohort,24,11,0.019894233190632084
B2,cohort,25,11,0.033354318811382525
B2,maf_bin,0,140,0.009531872509960158
B2,maf_bin,1,122,0.013078015805629938
B2,maf_bin,2,99,0.01888003541389996
B2,distance_bin,0,104,0.1404902208646065
B2,distance_bin,1,148,0.07917216782324794
B2,distance_bin,2,202,0.05076604508930078
B2,distance_bin,3,573,0.048527614966612745
B3,cohort,0,10,0.03157202216066482
B3,cohort,1,6,0.038157894736842106
B3,cohort,2,9,0.02379193598030163
B3,cohort,3,9,0.021783625730994148
B3,cohort,4,10,0.016918282548476455
B3,cohort,5,10,0.022797783933518008
