seed,af_mae,cohort_af_mae,genotype_proportion_tv,heterozygosity_mae,ld_r2_mae,local_dosage_covariance_mae,ld_r2_mae_by_bin_0,ld_r2_mae_by_bin_1,ld_r2_mae_by_bin_2,ld_r2_mae_by_bin_3,classifier_accuracy,classifier_macro_auc
20260327,-0.0005683636644557497,-0.005087633203976691,-0.0282195318449195,-0.028969992605754266,-0.016130264730178576,-0.0012750141506385794,-0.03652349365116761,-0.0268495575019176,-0.011680403406031457,-0.011228904956142774,0.14342629482071712,0.13590209603135994
20260328,2.2072375318669957e-05,-0.004611316661178144,-0.02809813378066682,-0.02842921941044685,-0.014240040066971285,-0.0006040305352411623,-0.03068485526986159,-0.025265699300277708,-0.014136878108940272,-0.008443845246539065,0.19521912350597612,0.13653822130340432
20260329,-0.0008828950127467983,-0.004149582335177884,-0.02668550176027193,-0.02853958128704022,-0.015234990417067794,-0.00108381457662831,-0.03619349680994549,-0.020324599437964136,-0.011111699351288813,-0.011569995644529263,0.14741035856573703,0.1297105793606439
20260330,-6.069903212633718e-05,-0.004638597782642098,-0.029643200052973703,-0.030669565505291846,-0.016548590224343275,-0.00045261333157306516,-0.034026287186063084,-0.025748208709771,-0.013613512798344364,-0.01203491067842638,0.07968127490039842,0.13448476130786047
20260331,2.2072375318669957e-05,-0.004048636804869513,-0.02623301806623919,-0.027943627153436137,-0.012561506419741311,-0.0016043083163376215,-0.03084449489624881,-0.020681740936424248,-0.0068673082586644535,-0.009160427865850536,0.11553784860557768,0.12528338955058005
20260332,5.518093829667489e-05,-0.003976263810058833,-0.027336636832172703,-0.028738232664908242,-0.018280385256352553,-0.0007707022841803614,-0.036673023668757215,-0.02663170570894112,-0.011567192372759112,-0.015099843166200659,0.1155378486055777,0.13670098907846118
20260333,0.0006952798225381036,-0.004431594874808181,-0.02783326527684278,-0.02975356192956706,-0.014167801907446147,0.00011610146309637415,-0.019375340839197674,-0.019887234116832644,-0.011734849940931151,-0.012609376999102313,0.16733067729083664,0.13382993497404516
20260334,0.0003973027557360592,-0.0051800231163112165,-0.028771341227886243,-0.030239154186577785,-0.016424383344111226,-0.0004488576532540277,-0.0317778283841723,-0.030829210177010985,-0.009788008686378587,-0.012242799312038484,0.13147410358565736,0.14624736140707206
20260335,-0.0004248932248843984,-0.0051081882106812915,-0.02927900586021566,-0.03157453289335732,-0.012963400508288161,-0.0004823496487984802,-0.03354009997603938,-0.02064771404096989,-0.007944896301936656,-0.009008668579467104,0.11952191235059759,0.11149412467446107
20260336,-0.0009049673880654682,-0.004470498722576294,-0.028528545099380867,-0.029621127677655026,-0.014825985539721823,-0.0006777840205840699,-0.03840529572576265,-0.028474940193465123,-0.006862794352256604,-0.010049048938901885,0.14342629482071714,0.11902607426971545
