metric,seed_count,B0_mean,T_mean,difference_mean,difference_sd,ci_low,ci_high
af_mae,10,0.024378938539470922,0.024213947533963866,-0.0001649910055070574,0.0005248055687522141,-0.0004778807208837777,0.00014900232863559668
cohort_af_mae,10,0.07258043895163009,0.06801020539940207,-0.004570233552228015,0.0004430049916301119,-0.004824441813188357,-0.004320601605227641
genotype_proportion_tv,10,0.0984185143084173,0.07035569632826036,-0.02806281798015694,0.001082519439744801,-0.028689728620145467,-0.02740944808025516
heterozygosity_mae,10,0.09637461235390846,0.06692675282250499,-0.029447859531403477,0.0011363766645472169,-0.030139856088112926,-0.028799924953923917
ld_r2_mae,10,0.0758938289505428,0.06075609410912058,-0.015137734841422215,0.0017551606207929454,-0.016165318642617516,-0.014104717970451368
local_dosage_covariance_mae,10,0.022109151232619032,0.021380813927205103,-0.0007283373054139304,0.00048763224089808625,-0.0010241745981157532,-0.0004430404475581429
ld_r2_mae_by_bin_0,10,0.14729420681644503,0.11448978517572345,-0.03280442164072158,0.0054100252273566515,-0.035576160345345165,-0.029013189323768673
ld_r2_mae_by_bin_1,10,0.09768848868219313,0.07315442766983568,-0.024534061012357444,0.003889974977066052,-0.026777813921010182,-0.02232409762586872
ld_r2_mae_by_bin_2,10,0.06488309707522438,0.05435234271747124,-0.010530754357753146,0.0025992278555165616,-0.012074199335615007,-0.008894377873065636
ld_r2_mae_by_bin_3,10,0.06120383990570515,0.050059057766985306,-0.011144782138719847,0.0020267580543868453,-0.012291017160506788,-0.010035521754087864
classifier_accuracy,10,0.1254980079681275,0.2613545816733068,0.13585657370517928,0.03167546438593374,0.11713147410358564,0.15498007968127492
classifier_macro_auc,10,0.7244193563602007,0.8553411095559611,0.13092175319576035,0.009988732123907097,0.12479113357298063,0.13652557467266963
