arm,stratum_type,stratum,n,value
B0,cohort,0,10.0,0.028606648199445982
B0,cohort,1,6.0,0.03386888273314866
B0,cohort,2,9.0,0.020817174515235452
B0,cohort,3,9.0,0.017583871960603265
B0,cohort,4,10.0,0.015084487534626037
B0,cohort,5,10.0,0.019092797783933513
B0,cohort,6,11.0,0.020376479476202466
B0,cohort,7,9.0,0.01665743305632502
B0,cohort,8,10.0,0.025675900277008314
B0,cohort,9,10.0,0.01757894736842105
B0,cohort,10,9.0,0.01616651277316097
B0,cohort,11,10.0,0.019282548476454296
B0,cohort,12,11.0,0.026119365399143796
B0,cohort,13,11.0,0.016033744648703097
B0,cohort,14,10.0,0.01831994459833795
B0,cohort,15,11.0,0.015940569126164695
B0,cohort,16,10.0,0.017468144044321333
B0,cohort,17,10.0,0.026265927977839332
B0,cohort,18,8.0,0.03203947368421053
B0,cohort,19,6.0,0.019736842105263157
B0,cohort,20,8.0,0.021916551246537398
B0,cohort,21,10.0,0.01731717451523546
B0,cohort,22,11.0,0.022020901536136995
B0,cohort,23,10.0,0.018445983379501388
B0,cohort,24,11.0,0.015673633845379
B0,cohort,25,11.0,0.026036262906069002
B0,maf_bin,0,140,0.003210728514513375
B0,maf_bin,1,122,0.004208738815230881
B0,maf_bin,2,99,0.006233651253571571
B0,distance_bin,0,104.0,0.17143486081264098
B0,distance_bin,1,148.0,0.09882585757484216
B0,distance_bin,2,202.0,0.06382754341579973
B0,distance_bin,3,573.0,0.0582419876201139
B1,cohort,0,10.0,0.027313019390581717
B1,cohort,1,6.0,0.0332594644506002
B1,cohort,2,9.0,0.019901508156355798
B1,cohort,3,9.0,0.014859956909818405
B1,cohort,4,10.0,0.015016620498614958
B1,cohort,5,10.0,0.017566481994459832
B1,cohort,6,11.0,0.01610929236968018
B1,cohort,7,9.0,0.016095721760541703
B1,cohort,8,10.0,0.022367036011080327
B1,cohort,9,10.0,0.016691135734072025
B1,cohort,10,9.0,0.015241612803939672
B1,cohort,11,10.0,0.018380886426592795
B1,cohort,12,11.0,0.023466381264165198
B1,cohort,13,11.0,0.016499622261395112
B1,cohort,14,10.0,0.016354570637119113
B1,cohort,15,11.0,0.01380005036514732
B1,cohort,16,10.0,0.014153739612188363
B1,cohort,17,10.0,0.026365650969529086
B1,cohort,18,8.0,0.028187326869806094
B1,cohort,19,6.0,0.02022391505078486
B1,cohort,20,8.0,0.019046052631578946
B1,cohort,21,10.0,0.01727423822714682
B1,cohort,22,11.0,0.021509695290858725
B1,cohort,23,10.0,0.016382271468144048
B1,cohort,24,11.0,0.01524175270712667
B1,cohort,25,11.0,0.023098715688743388
B1,maf_bin,0,140,0.0035758394991462716
B1,maf_bin,1,122,0.005416693880216837
B1,maf_bin,2,99,0.00673427502112761
B1,distance_bin,0,104.0,0.17083129796869406
B1,distance_bin,1,148.0,0.09827009430876862
B1,distance_bin,2,202.0,0.06344346219475352
B1,distance_bin,3,573.0,0.057499329855753
T,cohort,0,10.0,0.026067867036011085
T,cohort,1,6.0,0.03148891966759003
T,cohort,2,9.0,0.01782086795937211
T,cohort,3,9.0,0.013571868267159126
T,cohort,4,10.0,0.012818559556786702
T,cohort,5,10.0,0.01569667590027701
T,cohort,6,11.0,0.015044069503903298
T,cohort,7,9.0,0.013808864265927975
T,cohort,8,10.0,0.021613573407202217
T,cohort,9,10.0,0.015018005540166201
T,cohort,10,9.0,0.01312096029547553
T,cohort,11,10.0,0.017249307479224377
T,cohort,12,11.0,0.02235079325107026
T,cohort,13,11.0,0.01512339461092924
T,cohort,14,10.0,0.015465373961218835
T,cohort,15,11.0,0.011459330143540673
T,cohort,16,10.0,0.012753462603878113
T,cohort,17,10.0,0.025548476454293628
T,cohort,18,8.0,0.029058171745152357
T,cohort,19,6.0,0.018769621421975993
T,cohort,20,8.0,0.017757963988919667
T,cohort,21,10.0,0.015412742382271468
T,cohort,22,11.0,0.020337446487030977
T,cohort,23,10.0,0.014257617728531855
T,cohort,24,11.0,0.013307731050113325
T,cohort,25,11.0,0.022127927474187858
T,maf_bin,0,140,0.003795959021058623
T,maf_bin,1,122,0.004882437463261708
T,maf_bin,2,99,0.006284759950098593
T,distance_bin,0,104.0,0.1027244413715633
T,distance_bin,1,148.0,0.0424442310871699
T,distance_bin,2,202.0,0.02775824602271646
T,distance_bin,3,573.0,0.02613240553759293
T_superpop,cohort,0,10.0,0.02604709141274238
T_superpop,cohort,1,6.0,0.03153277931671284
T_superpop,cohort,2,9.0,0.017867036011080327
T_superpop,cohort,3,9.0,0.013887349953831948
T_superpop,cohort,4,10.0,0.012990304709141273
T_superpop,cohort,5,10.0,0.015880886426592796
T_superpop,cohort,6,11.0,0.015017627801561318
T_superpop,cohort,7,9.0,0.014221298861188055
T_superpop,cohort,8,10.0,0.021573407202216066
T_superpop,cohort,9,10.0,0.01500415512465374
T_superpop,cohort,10,9.0,0.013240997229916899
T_superpop,cohort,11,10.0,0.01734487534626039
T_superpop,cohort,12,11.0,0.02259632334424578
T_superpop,cohort,13,11.0,0.015073029463611182
T_superpop,cohort,14,10.0,0.01561634349030471
T_superpop,cohort,15,11.0,0.011636867287836819
T_superpop,cohort,16,10.0,0.012842105263157894
T_superpop,cohort,17,10.0,0.025580332409972296
T_superpop,cohort,18,8.0,0.02841932132963989
T_superpop,cohort,19,6.0,0.01891735918744229
T_superpop,cohort,20,8.0,0.017820290858725763
T_superpop,cohort,21,10.0,0.015609418282548476
T_superpop,cohort,22,11.0,0.020227902291614204
T_superpop,cohort,23,10.0,0.01436426592797784
T_superpop,cohort,24,11.0,0.013344245781918914
T_superpop,cohort,25,11.0,0.0221657013346764
T_superpop,maf_bin,0,140,0.0037502845759817874
T_superpop,maf_bin,1,122,0.004891091372216055
T_superpop,maf_bin,2,99,0.006348545213087045
T_superpop,distance_bin,0,104.0,0.10792298446309659
T_superpop,distance_bin,1,148.0,0.04713281919204143
T_superpop,distance_bin,2,202.0,0.030593852903636875
T_superpop,distance_bin,3,573.0,0.028653431964598193
T_cohort,cohort,0,10.0,0.026572022160664815
T_cohort,cohort,1,6.0,0.03196445060018467
T_cohort,cohort,2,9.0,0.018319482917820866
T_cohort,cohort,3,9.0,0.013988919667590027
T_cohort,cohort,4,10.0,0.013243767313019388
T_cohort,cohort,5,10.0,0.01640027700831025
T_cohort,cohort,6,11.0,0.01524301183580962
