arm,stratum_type,stratum,n,value
B0,cohort,0,10.0,0.028606648199445982
B0,cohort,1,6.0,0.03386888273314866
B0,cohort,2,9.0,0.020817174515235452
B0,cohort,3,9.0,0.017583871960603265
B0,cohort,4,10.0,0.015084487534626037
B0,cohort,5,10.0,0.019092797783933513
B0,cohort,6,11.0,0.020376479476202466
B0,cohort,7,9.0,0.01665743305632502
B0,cohort,8,10.0,0.025675900277008314
B0,cohort,9,10.0,0.01757894736842105
B0,cohort,10,9.0,0.01616651277316097
B0,cohort,11,10.0,0.019282548476454296
B0,cohort,12,11.0,0.026119365399143796
B0,cohort,13,11.0,0.016033744648703097
B0,cohort,14,10.0,0.01831994459833795
B0,cohort,15,11.0,0.015940569126164695
B0,cohort,16,10.0,0.017468144044321333
B0,cohort,17,10.0,0.026265927977839332
B0,cohort,18,8.0,0.03203947368421053
B0,cohort,19,6.0,0.019736842105263157
B0,cohort,20,8.0,0.021916551246537398
B0,cohort,21,10.0,0.01731717451523546
B0,cohort,22,11.0,0.022020901536136995
B0,cohort,23,10.0,0.018445983379501388
B0,cohort,24,11.0,0.015673633845379
B0,cohort,25,11.0,0.026036262906069002
B0,maf_bin,0,140,0.003210728514513375
B0,maf_bin,1,122,0.004208738815230881
B0,maf_bin,2,99,0.006233651253571571
B0,distance_bin,0,104.0,0.17143486081264098
B0,distance_bin,1,148.0,0.09882585757484216
B0,distance_bin,2,202.0,0.06382754341579973
B0,distance_bin,3,573.0,0.0582419876201139
B1,cohort,0,10.0,0.0268393351800554
B1,cohort,1,6.0,0.03328947368421052
B1,cohort,2,9.0,0.019273622653124035
B1,cohort,3,9.0,0.014016620498614957
B1,cohort,4,10.0,0.014717451523545705
B1,cohort,5,10.0,0.016793628808864265
B1,cohort,6,11.0,0.0155389070763032
B1,cohort,7,9.0,0.01582179132040628
B1,cohort,8,10.0,0.022091412742382268
B1,cohort,9,10.0,0.016506925207756235
B1,cohort,10,9.0,0.014953831948291783
B1,cohort,11,10.0,0.01790858725761773
B1,cohort,12,11.0,0.02294006547469151
B1,cohort,13,11.0,0.015943087383530598
B1,cohort,14,10.0,0.015979224376731303
B1,cohort,15,11.0,0.01306094182825485
B1,cohort,16,10.0,0.013358725761772852
B1,cohort,17,10.0,0.026224376731301936
B1,cohort,18,8.0,0.028024584487534625
B1,cohort,19,6.0,0.019517543859649124
B1,cohort,20,8.0,0.01881752077562327
B1,cohort,21,10.0,0.016759002770083103
B1,cohort,22,11.0,0.021128179299924454
B1,cohort,23,10.0,0.016271468144044322
B1,cohort,24,11.0,0.014842608914631076
B1,cohort,25,11.0,0.02257743641400151
B1,maf_bin,0,140,0.0031630620375640295
B1,maf_bin,1,122,0.004208412252628829
B1,maf_bin,2,99,0.006495432411767072
B1,distance_bin,0,104.0,0.17097930855342985
B1,distance_bin,1,148.0,0.09904963820273098
B1,distance_bin,2,202.0,0.06389198485784559
B1,distance_bin,3,573.0,0.058150230453853466
T,cohort,0,10.0,0.02588365650969529
T,cohort,1,6.0,0.03159510618651893
T,cohort,2,9.0,0.0173807325330871
T,cohort,3,9.0,0.012662357648507233
T,cohort,4,10.0,0.01253185595567867
T,cohort,5,10.0,0.015124653739612188
T,cohort,6,11.0,0.014346512213548223
T,cohort,7,9.0,0.013773468759618343
T,cohort,8,10.0,0.021182825484764543
T,cohort,9,10.0,0.0153005540166205
T,cohort,10,9.0,0.01311788242536165
T,cohort,11,10.0,0.016778393351800557
T,cohort,12,11.0,0.021839587005791992
T,cohort,13,11.0,0.014652480483505415
T,cohort,14,10.0,0.014926592797783933
T,cohort,15,11.0,0.010866280533870561
T,cohort,16,10.0,0.0118393351800554
T,cohort,17,10.0,0.025257617728531856
T,cohort,18,8.0,0.027302631578947367
T,cohort,19,6.0,0.017823176361957526
T,cohort,20,8.0,0.017572714681440442
T,cohort,21,10.0,0.015123268698060943
T,cohort,22,11.0,0.02008939813648955
T,cohort,23,10.0,0.014297783933518004
T,cohort,24,11.0,0.013034500125912868
T,cohort,25,11.0,0.02183077310501133
T,maf_bin,0,140,0.0031116960728514516
T,maf_bin,1,122,0.003721670694272092
T,maf_bin,2,99,0.006081331240693789
T,distance_bin,0,104.0,0.10291795587386225
T,distance_bin,1,148.0,0.04290044029004217
T,distance_bin,2,202.0,0.028264550637823477
T,distance_bin,3,573.0,0.026974330905505616
T_superpop,cohort,0,10.0,0.02588504155124654
T_superpop,cohort,1,6.0,0.031622807017543865
T_superpop,cohort,2,9.0,0.017491535857186824
T_superpop,cohort,3,9.0,0.012836257309941517
T_superpop,cohort,4,10.0,0.012670360110803325
T_superpop,cohort,5,10.0,0.015189750692520775
T_superpop,cohort,6,11.0,0.014286074036766558
T_superpop,cohort,7,9.0,0.01399969221298861
T_superpop,cohort,8,10.0,0.021105263157894738
T_superpop,cohort,9,10.0,0.015246537396121881
T_superpop,cohort,10,9.0,0.01317328408741151
T_superpop,cohort,11,10.0,0.016792243767313024
T_superpop,cohort,12,11.0,0.02201082850667338
T_superpop,cohort,13,11.0,0.014641148325358852
T_superpop,cohort,14,10.0,0.015110803324099722
T_superpop,cohort,15,11.0,0.011006043817678167
T_superpop,cohort,16,10.0,0.011860110803324098
T_superpop,cohort,17,10.0,0.025278393351800554
T_superpop,cohort,18,8.0,0.027184903047091407
T_superpop,cohort,19,6.0,0.01795013850415512
T_superpop,cohort,20,8.0,0.01765235457063712
T_superpop,cohort,21,10.0,0.015218836565096955
T_superpop,cohort,22,11.0,0.020008813900780662
T_superpop,cohort,23,10.0,0.014339335180055401
T_superpop,cohort,24,11.0,0.013010576680936792
T_superpop,cohort,25,11.0,0.021703601108033238
T_superpop,maf_bin,0,140,0.003106004553215709
T_superpop,maf_bin,1,122,0.003783554307360721
T_superpop,maf_bin,2,99,0.006171676928649039
T_superpop,distance_bin,0,104.0,0.1080515769367429
T_superpop,distance_bin,1,148.0,0.04767168559215864
T_superpop,distance_bin,2,202.0,0.03116356356298939
T_superpop,distance_bin,3,573.0,0.02946460442181042
T_cohort,cohort,0,10.0,0.026163434903047088
T_cohort,cohort,1,6.0,0.03196675900277009
T_cohort,cohort,2,9.0,0.01784549092028316
T_cohort,cohort,3,9.0,0.013157894736842105
T_cohort,cohort,4,10.0,0.013027700831024929
T_cohort,cohort,5,10.0,0.015674515235457064
T_cohort,cohort,6,11.0,0.014602115336187358
