arm,metric,mean,sample_sd
B0,nn_distance_to_train_min,0.08559556786703601,0.010068446591714854
B0,nn_distance_to_train_p1,0.10290858725761773,0.006786860633480789
B0,nn_distance_to_train_p5,0.12299168975069252,0.002977749860867428
B0,nn_distance_to_train_median,0.1772853185595568,0.002919923970607923
B0,nn_distance_to_train_mean,0.17834148171855516,0.002242420384858741
B0,exact_duplicate_rate_train,0.0,0.0
B0,near_duplicate_rate_train,0.0,0.0
B0,self_duplicate_rate,0.0,0.0
B0,membership_inference_auc,0.4926738600045373,0.004680718104012874
T,nn_distance_to_train_min,0.07950138504155126,0.011312585887934832
T,nn_distance_to_train_p1,0.09362880886426593,0.004087893558851093
T,nn_distance_to_train_p5,0.110803324099723,0.002992031716716465
T,nn_distance_to_train_median,0.1587257617728532,0.0034672176095140524
T,nn_distance_to_train_mean,0.16040767677213585,0.001892391016440875
T,exact_duplicate_rate_train,0.0,0.0
T,near_duplicate_rate_train,0.0,0.0
T,self_duplicate_rate,0.0,0.0
T,membership_inference_auc,0.499478410036179,0.008013092423529619
T-B0,nn_distance_to_train_min,-0.006094182825484765,0.010909736279033744
T-B0,nn_distance_to_train_p1,-0.009279778393351796,0.007781748032949508
T-B0,nn_distance_to_train_p5,-0.012188365650969538,0.0019368584453742402
T-B0,nn_distance_to_train_median,-0.01855955678670361,0.0022805335245112603
T-B0,nn_distance_to_train_mean,-0.017933804946419312,0.0009116125563405989
T-B0,exact_duplicate_rate_train,0.0,0.0
T-B0,near_duplicate_rate_train,0.0,0.0
T-B0,self_duplicate_rate,0.0,0.0
T-B0,membership_inference_auc,0.006804550031641643,0.006088771829358816
