cohort,population,superpop,n_train,n_eval,af_mae_B0,af_mae_T,het_mae_B0,het_mae_T,nn_distance_median_B0,nn_distance_median_T,status
0,ACB,AFR,76,10,0.07761772853185596,0.075,0.14786703601108037,0.1333240997229917,0.20581717451523546,0.18850415512465374,ok
1,ASW,AFR,49,6,0.10627885503231764,0.09803785780240075,0.1789473684210526,0.16135734072022162,0.1979224376731302,0.18324099722991688,ok
2,BEB,SAS,68,9,0.07603878116343492,0.06877500769467529,0.13354878424130504,0.11403508771929824,0.1717451523545706,0.15096952908587258,ok
3,CDX,EAS,75,9,0.0623884272083718,0.0577254539858418,0.13844259772237613,0.11846722068328716,0.16177285318559556,0.13601108033240997,ok
4,CEU,EUR,79,10,0.06915512465373962,0.06831024930747923,0.09509695290858725,0.0918005540166205,0.16385041551246535,0.15,ok
5,CHB,EAS,83,10,0.06177285318559557,0.05649584487534627,0.13357340720221608,0.1104432132963989,0.16703601108033242,0.1452908587257618,ok
6,CHS,EAS,83,11,0.0599974817426341,0.05517501888693025,0.11616721228909595,0.10224124905565349,0.17008310249307482,0.1490304709141274,ok
7,CLM,AMR,76,9,0.07651585103108648,0.07214527546937519,0.13474915358571868,0.11683594952293012,0.167590027700831,0.1526315789473684,ok
8,ESN,AFR,79,10,0.07621883656509695,0.07095567867036011,0.12789473684210526,0.11465373961218839,0.20083102493074795,0.18421052631578946,ok
9,FIN,EUR,79,10,0.06534626038781163,0.061578947368421066,0.14526315789473684,0.12747922437673131,0.16634349030470913,0.1519390581717452,ok
10,GBR,EUR,73,9,0.07905509387503848,0.07473068636503541,0.14112034472145274,0.11985226223453371,0.16343490304709143,0.1440443213296399,ok
11,GIH,SAS,83,10,0.073601108033241,0.0726038781163435,0.1549584487534626,0.13828254847645433,0.17008310249307476,0.1488919667590028,ok
12,GWD,AFR,91,11,0.07508184336439185,0.07263913371946613,0.12205993452530847,0.10941828254847645,0.20415512465373964,0.1850415512465374,ok
13,IBS,EUR,85,11,0.06514731805590532,0.06077814152606396,0.1284814908083606,0.10644673885671115,0.17396121883656507,0.15457063711911356,ok
14,ITU,SAS,82,10,0.07383656509695291,0.07037396121883656,0.14351800554016622,0.12429362880886427,0.16523545706371193,0.1488919667590028,ok
15,JPT,EAS,83,10,0.06308864265927977,0.055831024930747916,0.12795013850415513,0.10944598337950137,0.16357340720221608,0.14473684210526316,ok
16,KHV,EAS,79,10,0.06526315789473684,0.05986149584487536,0.11601108033240999,0.0987257617728532,0.16772853185595568,0.14778393351800553,ok
17,LWK,AFR,79,10,0.08513850415512465,0.0798060941828255,0.1486703601108033,0.12570637119113576,0.20290858725761773,0.18199445983379503,ok
18,MSL,AFR,68,9,0.07854724530624807,0.0721298861188058,0.13290243151738995,0.11754385964912281,0.20360110803324102,0.1811634349030471,ok
19,MXL,AMR,52,6,0.08381809787626962,0.08070175438596491,0.12276084949215142,0.11588180978762694,0.16994459833795014,0.14833795013850418,ok
20,PEL,AMR,68,9,0.0641582025238535,0.060126192674669135,0.1351492767005233,0.11637426900584795,0.17036011080332408,0.15429362880886427,ok
21,PJL,SAS,76,10,0.061842105263157886,0.057105263157894735,0.13454293628808864,0.11570637119113572,0.17132963988919667,0.15457063711911356,ok
22,PUR,AMR,83,10,0.0801662049861496,0.07614958448753462,0.12238227146814404,0.11789473684210527,0.17825484764542937,0.15789473684210525,ok
23,STU,SAS,82,10,0.06887811634349031,0.06390581717451524,0.15044321329639887,0.12930747922437674,0.17022160664819946,0.1515235457063712,ok
24,TSI,EUR,85,11,0.06644422059934525,0.06186099219340217,0.10609418282548477,0.09264668849156384,0.17396121883656507,0.1520775623268698,ok
25,YRI,AFR,86,11,0.07169478720725257,0.06546210022664316,0.11493326617980357,0.09969780911609166,0.203601108033241,0.1847645429362881,ok
unseen,,,,,,,,,,,no unseen cohort in this panel
